classif,classif_desc,classif_desc_en
99,contrac/ns/ocpm,professional internships
35,pers. politique,politicians
32,brig.scolaires,school crossing guards
20,architectes,architects
11,pro.scien.p.e.,scientific/engineering professionals
30,av.not.n.synd.,union lawyers/notaries
29,professionnels,professionals
97,stages emploi,unpaid/student internships
3,cadre administ.,administrators
59,prof/blanc/annk,professional white collar workers
12,fonctionnaires,civil servants
18,pompiers,firefighters
2,cadre direction,executives
17,etat major pom.,firefighter staff
14,manuels c.bleus,blue collar workers
13,contremaitres,foremen
16,policiers,police
22,pro.juristes,court jurists
1,elus municipaux,municipal elected officials
4,contremaitre ca,construction foremen